case_id,origin,case_dir,status,problems,missing_files,shape_consistent,spacing_consistent,affine_consistent,reference_shape,reference_spacing,reference_affine_hash,label_shape,label_spacing,label_values,invalid_label_values,label_0_voxels,label_1_voxels,label_2_voxels,label_3_voxels,label_4_voxels,et_voxels,tc_voxels,wt_voxels,has_et,voxel_volume_mm3,et_volume_mm3,tc_volume_mm3,wt_volume_mm3,t1n_path,t1n_shape,t1n_spacing,t1n_nonzero_voxels,t1n_mean,t1n_std,t1n_min,t1n_p01,t1n_median,t1n_p99,t1n_max,t1c_path,t1c_shape,t1c_spacing,t1c_nonzero_voxels,t1c_mean,t1c_std,t1c_min,t1c_p01,t1c_median,t1c_p99,t1c_max,t2w_path,t2w_shape,t2w_spacing,t2w_nonzero_voxels,t2w_mean,t2w_std,t2w_min,t2w_p01,t2w_median,t2w_p99,t2w_max,t2f_path,t2f_shape,t2f_spacing,t2f_nonzero_voxels,t2f_mean,t2f_std,t2f_min,t2f_p01,t2f_median,t2f_p99,t2f_max
BraTS-GLI-00005-100,training_data1_v2,/Volumes/External M2/Datos/TFM-datasets/training_data1_v2/BraTS-GLI-00005-100,ok,[],,True,True,True,"[182,218,182]","[1.0,1.0,1.0]",e6a526427309a557,"[182,218,182]","[1.0,1.0,1.0]","[0,2,4]",[],7193826,0,22960,0,4246,0,4246,27206,False,1.0,0.0,4246.0,27206.0,/Volumes/External M2/Datos/TFM-datasets/training_data1_v2/BraTS-GLI-00005-100/BraTS-GLI-00005-100-t1n.nii.gz,"[182,218,182]","[1.0,1.0,1.0]",1239035,1710.386474609375,424.2398376464844,0.001109275035560131,87.488525390625,1816.484619140625,2265.777587890625,4300.9189453125,/Volumes/External M2/Datos/TFM-datasets/training_data1_v2/BraTS-GLI-00005-100/BraTS-GLI-00005-100-t1c.nii.gz,"[182,218,182]","[1.0,1.0,1.0]",1239035,2081.5888671875,615.876708984375,0.0025172054301947355,123.25634765625,2127.371337890625,4334.24609375,8183.82373046875,/Volumes/External M2/Datos/TFM-datasets/training_data1_v2/BraTS-GLI-00005-100/BraTS-GLI-00005-100-t2w.nii.gz,"[182,218,182]","[1.0,1.0,1.0]",1239035,709.044921875,368.932373046875,0.00036810332676395774,30.8144588470459,610.4406127929688,2165.183349609375,2519.352783203125,/Volumes/External M2/Datos/TFM-datasets/training_data1_v2/BraTS-GLI-00005-100/BraTS-GLI-00005-100-t2f.nii.gz,"[182,218,182]","[1.0,1.0,1.0]",1239009,466.7712707519531,169.48666381835938,0.0001329847873421386,14.589178085327148,475.861572265625,870.3589477539062,1406.898681640625
BraTS-GLI-00005-101,training_data1_v2,/Volumes/External M2/Datos/TFM-datasets/training_data1_v2/BraTS-GLI-00005-101,ok,[],,True,True,True,"[182,218,182]","[1.0,1.0,1.0]",e6a526427309a557,"[182,218,182]","[1.0,1.0,1.0]","[0,2,4]",[],7193733,0,23658,0,3641,0,3641,27299,False,1.0,0.0,3641.0,27299.0,/Volumes/External M2/Datos/TFM-datasets/training_data1_v2/BraTS-GLI-00005-101/BraTS-GLI-00005-101-t1n.nii.gz,"[182,218,182]","[1.0,1.0,1.0]",1192496,1748.36376953125,358.32147216796875,276.2880859375,799.6966552734375,1824.49462890625,2283.989013671875,4595.9208984375,/Volumes/External M2/Datos/TFM-datasets/training_data1_v2/BraTS-GLI-00005-101/BraTS-GLI-00005-101-t1c.nii.gz,"[182,218,182]","[1.0,1.0,1.0]",1192496,2007.197021484375,449.41607666015625,371.33984375,853.5877685546875,2040.5625,3667.321533203125,7013.974609375,/Volumes/External M2/Datos/TFM-datasets/training_data1_v2/BraTS-GLI-00005-101/BraTS-GLI-00005-101-t2w.nii.gz,"[182,218,182]","[1.0,1.0,1.0]",1192496,786.9161987304688,368.1181335449219,100.106689453125,302.174072265625,669.8201904296875,2289.591552734375,2707.994384765625,/Volumes/External M2/Datos/TFM-datasets/training_data1_v2/BraTS-GLI-00005-101/BraTS-GLI-00005-101-t2f.nii.gz,"[182,218,182]","[1.0,1.0,1.0]",1192496,455.9062805175781,159.7853240966797,49.641357421875,85.62303161621094,462.4115295410156,813.9341430664062,1222.2093505859375
BraTS-GLI-00006-100,training_data1_v2,/Volumes/External M2/Datos/TFM-datasets/training_data1_v2/BraTS-GLI-00006-100,ok,[],,True,True,True,"[182,218,182]","[1.0,1.0,1.0]",e6a526427309a557,"[182,218,182]","[1.0,1.0,1.0]","[0,2,4]",[],7181051,0,17907,0,22074,0,22074,39981,False,1.0,0.0,22074.0,39981.0,/Volumes/External M2/Datos/TFM-datasets/training_data1_v2/BraTS-GLI-00006-100/BraTS-GLI-00006-100-t1n.nii.gz,"[182,218,182]","[1.0,1.0,1.0]",1463851,2440.483154296875,721.2244873046875,0.0010497227776795626,85.14015197753906,2656.963623046875,3318.63916015625,3958.549560546875,/Volumes/External M2/Datos/TFM-datasets/training_data1_v2/BraTS-GLI-00006-100/BraTS-GLI-00006-100-t1c.nii.gz,"[182,218,182]","[1.0,1.0,1.0]",1463851,2232.17333984375,619.2059936523438,0.0009257972706109285,103.3118896484375,2356.72265625,3826.63525390625,7779.4052734375,/Volumes/External M2/Datos/TFM-datasets/training_data1_v2/BraTS-GLI-00006-100/BraTS-GLI-00006-100-t2w.nii.gz,"[182,218,182]","[1.0,1.0,1.0]",1463851,735.2069702148438,331.3488464355469,0.0005073517095297575,28.526371002197266,648.5925903320312,2025.155517578125,2482.30419921875,/Volumes/External M2/Datos/TFM-datasets/training_data1_v2/BraTS-GLI-00006-100/BraTS-GLI-00006-100-t2f.nii.gz,"[182,218,182]","[1.0,1.0,1.0]",1463787,376.61749267578125,137.73989868164062,1.3938544725533575e-05,6.598121166229248,424.1813659667969,593.8848266601562,985.1010131835938
BraTS-GLI-00006-101,training_data1_v2,/Volumes/External M2/Datos/TFM-datasets/training_data1_v2/BraTS-GLI-00006-101,ok,[],,True,True,True,"[182,218,182]","[1.0,1.0,1.0]",e6a526427309a557,"[182,218,182]","[1.0,1.0,1.0]","[0,2,4]",[],7183794,0,18747,0,18491,0,18491,37238,False,1.0,0.0,18491.0,37238.0,/Volumes/External M2/Datos/TFM-datasets/training_data1_v2/BraTS-GLI-00006-101/BraTS-GLI-00006-101-t1n.nii.gz,"[182,218,182]","[1.0,1.0,1.0]",1457081,1814.507568359375,390.2812194824219,261.3701171875,695.2667236328125,1918.997314453125,2380.307861328125,4378.68359375,/Volumes/External M2/Datos/TFM-datasets/training_data1_v2/BraTS-GLI-00006-101/BraTS-GLI-00006-101-t1c.nii.gz,"[182,218,182]","[1.0,1.0,1.0]",1457081,2096.10205078125,514.3765869140625,369.84130859375,844.0748291015625,2130.45068359375,4212.015625,7927.17529296875,/Volumes/External M2/Datos/TFM-datasets/training_data1_v2/BraTS-GLI-00006-101/BraTS-GLI-00006-101-t2w.nii.gz,"[182,218,182]","[1.0,1.0,1.0]",1457081,748.9677734375,360.8842468261719,72.66259765625,198.42691040039062,629.655029296875,2178.0322265625,2635.57861328125,/Volumes/External M2/Datos/TFM-datasets/training_data1_v2/BraTS-GLI-00006-101/BraTS-GLI-00006-101-t2f.nii.gz,"[182,218,182]","[1.0,1.0,1.0]",1457081,461.4247131347656,149.4007568359375,54.0003662109375,91.14408874511719,474.34967041015625,755.3934936523438,1207.9017333984375
BraTS-GLI-00008-100,training_data1_v2,/Volumes/External M2/Datos/TFM-datasets/training_data1_v2/BraTS-GLI-00008-100,ok,[],,True,True,True,"[182,218,182]","[1.0,1.0,1.0]",e6a526427309a557,"[182,218,182]","[1.0,1.0,1.0]","[0,2,3,4]",[],7212105,0,6976,135,1816,135,1951,8927,True,1.0,135.0,1951.0,8927.0,/Volumes/External M2/Datos/TFM-datasets/training_data1_v2/BraTS-GLI-00008-100/BraTS-GLI-00008-100-t1n.nii.gz,"[182,218,182]","[1.0,1.0,1.0]",1409370,2260.9111328125,611.0009155273438,0.00011195981642231345,103.04580688476562,2451.576904296875,3009.876708984375,3785.478271484375,/Volumes/External M2/Datos/TFM-datasets/training_data1_v2/BraTS-GLI-00008-100/BraTS-GLI-00008-100-t1c.nii.gz,"[182,218,182]","[1.0,1.0,1.0]",1409370,2079.3857421875,570.6940307617188,0.00011762866779463366,129.0770263671875,2160.41015625,3958.28564453125,7829.083984375,/Volumes/External M2/Datos/TFM-datasets/training_data1_v2/BraTS-GLI-00008-100/BraTS-GLI-00008-100-t2w.nii.gz,"[182,218,182]","[1.0,1.0,1.0]",1409370,665.6592407226562,317.35394287109375,2.7045145543524995e-05,27.885168075561523,575.0595092773438,1890.6629638671875,2365.060302734375,/Volumes/External M2/Datos/TFM-datasets/training_data1_v2/BraTS-GLI-00008-100/BraTS-GLI-00008-100-t2f.nii.gz,"[182,218,182]","[1.0,1.0,1.0]",1409347,553.8570556640625,186.55906677246094,8.835320477373898e-05,14.017085075378418,595.2655029296875,856.205322265625,1396.8680419921875
BraTS-GLI-00008-101,training_data1_v2,/Volumes/External M2/Datos/TFM-datasets/training_data1_v2/BraTS-GLI-00008-101,ok,[],,True,True,True,"[182,218,182]","[1.0,1.0,1.0]",e6a526427309a557,"[182,218,182]","[1.0,1.0,1.0]","[0,2,3,4]",[],7211292,0,7771,66,1903,66,1969,9740,True,1.0,66.0,1969.0,9740.0,/Volumes/External M2/Datos/TFM-datasets/training_data1_v2/BraTS-GLI-00008-101/BraTS-GLI-00008-101-t1n.nii.gz,"[182,218,182]","[1.0,1.0,1.0]",1365429,2338.78564453125,475.87115478515625,505.32470703125,1105.01611328125,2472.89111328125,3028.065673828125,4086.9140625,/Volumes/External M2/Datos/TFM-datasets/training_data1_v2/BraTS-GLI-00008-101/BraTS-GLI-00008-101-t1c.nii.gz,"[182,218,182]","[1.0,1.0,1.0]",1365429,2308.1708984375,526.311279296875,582.41650390625,1056.939453125,2351.38623046875,4402.5087890625,7818.44677734375,/Volumes/External M2/Datos/TFM-datasets/training_data1_v2/BraTS-GLI-00008-101/BraTS-GLI-00008-101-t2w.nii.gz,"[182,218,182]","[1.0,1.0,1.0]",1365429,759.9915161132812,363.4927673339844,83.685302734375,270.73095703125,628.119873046875,2182.29150390625,2682.56494140625,/Volumes/External M2/Datos/TFM-datasets/training_data1_v2/BraTS-GLI-00008-101/BraTS-GLI-00008-101-t2f.nii.gz,"[182,218,182]","[1.0,1.0,1.0]",1365429,587.5972290039062,182.2784881591797,54.847412109375,94.27230072021484,618.725341796875,917.25439453125,1451.2113037109375
BraTS-GLI-00008-102,training_data1_v2,/Volumes/External M2/Datos/TFM-datasets/training_data1_v2/BraTS-GLI-00008-102,ok,[],,True,True,True,"[182,218,182]","[1.0,1.0,1.0]",e6a526427309a557,"[182,218,182]","[1.0,1.0,1.0]","[0,2,3,4]",[],7203713,0,14891,537,1891,537,2428,17319,True,1.0,537.0,2428.0,17319.0,/Volumes/External M2/Datos/TFM-datasets/training_data1_v2/BraTS-GLI-00008-102/BraTS-GLI-00008-102-t1n.nii.gz,"[182,218,182]","[1.0,1.0,1.0]",1479688,2098.251953125,720.59521484375,0.00014093238860368729,100.13546752929688,2244.5712890625,3076.722900390625,3664.204345703125,/Volumes/External M2/Datos/TFM-datasets/training_data1_v2/BraTS-GLI-00008-102/BraTS-GLI-00008-102-t1c.nii.gz,"[182,218,182]","[1.0,1.0,1.0]",1479688,2306.07275390625,727.9500122070312,0.0002044164575636387,114.72537994384766,2401.8701171875,3582.45849609375,6494.75732421875,/Volumes/External M2/Datos/TFM-datasets/training_data1_v2/BraTS-GLI-00008-102/BraTS-GLI-00008-102-t2w.nii.gz,"[182,218,182]","[1.0,1.0,1.0]",1479688,1613.0909423828125,718.2748413085938,0.00038023386150598526,64.6275405883789,1419.223876953125,3846.228759765625,5491.56640625,/Volumes/External M2/Datos/TFM-datasets/training_data1_v2/BraTS-GLI-00008-102/BraTS-GLI-00008-102-t2f.nii.gz,"[182,218,182]","[1.0,1.0,1.0]",1479645,904.2470092773438,325.85791015625,3.3855438232421875e-05,16.504230499267578,982.641357421875,1430.316162109375,2396.943359375
BraTS-GLI-00008-103,training_data1_v2,/Volumes/External M2/Datos/TFM-datasets/training_data1_v2/BraTS-GLI-00008-103,ok,[],,True,True,True,"[182,218,182]","[1.0,1.0,1.0]",e6a526427309a557,"[182,218,182]","[1.0,1.0,1.0]","[0,2,3,4]",[],7209510,0,9588,178,1756,178,1934,11522,True,1.0,178.0,1934.0,11522.0,/Volumes/External M2/Datos/TFM-datasets/training_data1_v2/BraTS-GLI-00008-103/BraTS-GLI-00008-103-t1n.nii.gz,"[182,218,182]","[1.0,1.0,1.0]",1417524,2258.215576171875,693.78857421875,410.154296875,644.9830932617188,2380.384521484375,3270.320556640625,3923.2724609375,/Volumes/External M2/Datos/TFM-datasets/training_data1_v2/BraTS-GLI-00008-103/BraTS-GLI-00008-103-t1c.nii.gz,"[182,218,182]","[1.0,1.0,1.0]",1417524,3046.673828125,757.9495239257812,738.58984375,1155.71337890625,3121.92431640625,5085.091796875,8919.361328125,/Volumes/External M2/Datos/TFM-datasets/training_data1_v2/BraTS-GLI-00008-103/BraTS-GLI-00008-103-t2w.nii.gz,"[182,218,182]","[1.0,1.0,1.0]",1417524,1708.5732421875,729.533203125,205.24072265625,566.4087524414062,1458.586669921875,3995.154541015625,5495.7421875,/Volumes/External M2/Datos/TFM-datasets/training_data1_v2/BraTS-GLI-00008-103/BraTS-GLI-00008-103-t2f.nii.gz,"[182,218,182]","[1.0,1.0,1.0]",1417524,865.6944580078125,275.67852783203125,59.642333984375,118.830810546875,913.7064819335938,1351.355224609375,2332.466064453125
BraTS-GLI-00009-100,training_data1_v2,/Volumes/External M2/Datos/TFM-datasets/training_data1_v2/BraTS-GLI-00009-100,ok,[],,True,True,True,"[182,218,182]","[1.0,1.0,1.0]",e6a526427309a557,"[182,218,182]","[1.0,1.0,1.0]","[0,1,2,3,4]",[],7138385,177,73175,6311,2984,6311,9472,82647,True,1.0,6311.0,9472.0,82647.0,/Volumes/External M2/Datos/TFM-datasets/training_data1_v2/BraTS-GLI-00009-100/BraTS-GLI-00009-100-t1n.nii.gz,"[182,218,182]","[1.0,1.0,1.0]",1381895,2309.99951171875,631.2421264648438,0.00011205673217773438,104.34687042236328,2464.878173828125,3343.885009765625,4874.15185546875,/Volumes/External M2/Datos/TFM-datasets/training_data1_v2/BraTS-GLI-00009-100/BraTS-GLI-00009-100-t1c.nii.gz,"[182,218,182]","[1.0,1.0,1.0]",1381895,2281.619873046875,675.96337890625,0.00013637542724609375,135.41329956054688,2330.14501953125,4760.98486328125,8411.6337890625,/Volumes/External M2/Datos/TFM-datasets/training_data1_v2/BraTS-GLI-00009-100/BraTS-GLI-00009-100-t2w.nii.gz,"[182,218,182]","[1.0,1.0,1.0]",1381895,708.29638671875,364.4048767089844,4.309415817260742e-05,25.70551300048828,615.8014526367188,2111.40283203125,2509.149658203125,/Volumes/External M2/Datos/TFM-datasets/training_data1_v2/BraTS-GLI-00009-100/BraTS-GLI-00009-100-t2f.nii.gz,"[182,218,182]","[1.0,1.0,1.0]",1381874,623.1002197265625,238.50927734375,0.00011598832497838885,19.159465789794922,638.80712890625,1188.7550048828125,2019.424560546875
BraTS-GLI-00009-101,training_data1_v2,/Volumes/External M2/Datos/TFM-datasets/training_data1_v2/BraTS-GLI-00009-101,ok,[],,True,True,True,"[182,218,182]","[1.0,1.0,1.0]",e6a526427309a557,"[182,218,182]","[1.0,1.0,1.0]","[0,1,2,3,4]",[],7126867,559,81545,11334,727,11334,12620,94165,True,1.0,11334.0,12620.0,94165.0,/Volumes/External M2/Datos/TFM-datasets/training_data1_v2/BraTS-GLI-00009-101/BraTS-GLI-00009-101-t1n.nii.gz,"[182,218,182]","[1.0,1.0,1.0]",1326597,2352.459716796875,504.63232421875,549.509765625,1053.84228515625,2453.234130859375,3164.759521484375,5555.82373046875,/Volumes/External M2/Datos/TFM-datasets/training_data1_v2/BraTS-GLI-00009-101/BraTS-GLI-00009-101-t1c.nii.gz,"[182,218,182]","[1.0,1.0,1.0]",1326597,2286.0087890625,541.8284301757812,713.7578125,1071.558349609375,2280.29052734375,4611.2685546875,7714.23681640625,/Volumes/External M2/Datos/TFM-datasets/training_data1_v2/BraTS-GLI-00009-101/BraTS-GLI-00009-101-t2w.nii.gz,"[182,218,182]","[1.0,1.0,1.0]",1326597,730.1517333984375,372.23095703125,60.41650390625,176.02003479003906,614.6468505859375,2148.103515625,2579.12744140625,/Volumes/External M2/Datos/TFM-datasets/training_data1_v2/BraTS-GLI-00009-101/BraTS-GLI-00009-101-t2f.nii.gz,"[182,218,182]","[1.0,1.0,1.0]",1326597,611.4270629882812,210.90362548828125,64.914306640625,120.898681640625,614.2093505859375,1068.4781494140625,2011.756591796875
